Žadatel,Rozhodnutí/Smlouva o poskytnutí dotace (EU zdroje)
"Educa International, o.p.s.",5.3781776
Všude dobře o.p.s.,5.37489901
Klášter Naší Paní nad Vltavou,5.3717669400000005
"Soukromá vyšší odborná škola sociální, o.p.s.",5.343826679999999
Římskokatolická farnost Domaslavice,5.3419754699999995
Letohradské soukromé gymnázium o.p.s.,5.312772150000001
Geopark Český ráj o.p.s.,5.2909090800000005
Římskokatolická farnost Zátor,5.26304455
Římskokatolická farnost Suchdol nad Odrou,5.237641
"CEVRO Institut, o.p.s.",5.22921096
Geopark Ralsko o.p.s.,5.218957690000001
Římskokatolická farnost - arciděkanství Mladá Boleslav,5.15322808
"Jihočeské zemědělské muzeum, o.p.s.",5.11964138
"Centrum protidrogové prevence a terapie, o.p.s.",5.109599029999999
Charita Opava,5.108074650000001
"Hubbardova akademie administrativy Brno, o.p.s",5.08042346
Střední odborné učiliště Sedlčany o.p.s.,5.05275725
Oblastní charita Ústí nad Labem,5.0159107
"Institut moderního vzdělávání, o.p.s.",5.0011236
"ALZHEIMER´S SUPPORT CENTER CZECH REPUBLIC, o.p.s.",4.99842608
"proFem - Konzultační středisko pro ženské projekty, o.p.s.",4.945679190000001
"MAS Podlipansko, o.p.s.",4.937016949999999
Nadační fond Jendy Rajmana,4.92671715
Institut vzdělávání v zemědělství o.p.s.,4.91655142
"Střední škola ekonomicko-podnikatelská Studénka, o. p. s.",4.912672980000001
"JIZERSKÁ, o.p.s.",4.85049097
Společnost pro komunitní práci Vsetín o.p.s.,4.81714704
FUTURUM FAMILY o.p.s.,4.817124450000001
"Trutnovská zeleň, o.p.s.",4.77865092
Římskokatolická farnost Kutná Hora - Sedlec,4.7471111
"Evropský institut pro smír, mediaci a rozhodčí řízení, o.p.s. (zkráceně: ESI, o.p.s.)",4.74358874
"RÝMAŘOVSKO,  o.p.s.",4.72790485
"První Férová, o.p.s.",4.69896048
"Česká krajina, o.p.s.",4.6689824699999996
Římskokatolická farnost Rychvald u Karviné,4.6443793300000005
"Akademie veřejné správy, o.p.s.",4.61850761
"UnikaCentrum, o.p.s.",4.61263232
"Vysoká škola Karlovy Vary, o.p.s.",4.589554980000001
Nadace Živoucí světlo Maháprabhudíp satsang,4.57617866
"Komuniké, o.p.s.",4.56482744
"Slezské zemské dráhy, o.p.s.",4.539552
Meridiem o.p.s.,4.52226311
"SKP-CENTRUM, o.p.s.",4.51509783
Farní charita Nové Hrady u Skutče,4.510187729999999
Farní charita Prachatice,4.46688824
Římskokatolická farnost Dub nad Moravou,4.42700763
Židovská obec v Praze,4.415331259999999
"Bohemia JazzFest, o.p.s.",4.41236267
Římskokatolická farnost Štramberk,4.39584969
Římskokatolická farnost Frýdlant nad Ostravicí,4.39035444
"PECKA - Centrum celoživotního vzdělávání Karlovy Vary, o.p.s.",4.36564995
"Focus on education, o.p.s.",4.3537633200000005
"BRANKA, o.p.s.",4.3273978
Moravskoslezské sdružení Církve adventistů sedmého dne,4.32556837
Český nadační fond pro vydru,4.28473029
"Otevřené srdce, o.p.s.",4.272568349999999
Římskokatolická farnost Střítež u Českého Těšína,4.27221046
"HUMANITAS AFRIKA, o. p. s.",4.269051849999999
"Naproti, obecně prospěšná společnost",4.26390846
"Středisko rozvoje sociálních služeb, o.p.s.",4.21113442
"Azylový dům pro muže, o.p.s.",4.18706975
"KoCeRo - komunitní centrum Romů, o.p.s.",4.17181655
TyfloCentrum Ústí nad Labem o.p.s.,4.16620645
"ALKA Wildlife, o.p.s.",4.0974628200000005
Charita sv. Vojtěcha Slavičín,4.09193315
SKI Libín 1096 o.p.s.,4.08933633
Ledax o.p.s.,4.05638721
Služby Jihlavské Terasy o.p.s.,4.01475542
"Výzkumné centrum VŠERS, obecně prospěšná společnost",3.96992305
DŽIVIPEN o.p.s.,3.96755058
"Vzdělávací středisko VEGA, o.p.s.",3.95488095
Sociální podnik KOVOLES o.p.s.,3.9109186499999997
Gymnázium J.Seiferta o.p.s.,3.90463372
Spolu dětem o.p.s.,3.90331569
