Hosp.právní forma,Žadatel,Rozhodnutí/Smlouva o poskytnutí dotace (EU zdroje)
Obecně prospěšná společnost,"SPONDEA, o.p.s.",8.03666416
Obecně prospěšná společnost,"Ústav sociálních inovací, o.p.s.",7.96463607
Obecně prospěšná společnost,Elrond o.s.,7.924250560000001
Obecně prospěšná společnost,Oáza klidu o.p.s.,7.92240662
Obecně prospěšná společnost,"Pestrá společnost, o.p.s.",7.828319930000001
Obecně prospěšná společnost,"I. Německé zemské gymnasium, základní škola a mateřská škola, o. p. s.",7.8154864
Obecně prospěšná společnost,"TyfloCentrum Olomouc, o.p.s.",7.81209383
Obecně prospěšná společnost,"Valašsko, o.p.s.",7.767199150000001
Obecně prospěšná společnost,EKO GYMNÁZIUM BRNO o.p.s.,7.73202076
Obecně prospěšná společnost,"Via Lucis Praha,  o.p.s.",7.72574347
Obecně prospěšná společnost,"Denní centrum Barevný svět, o.p.s.",7.72328038
Obecně prospěšná společnost,"Západomoravská vysoká škola Třebíč, o.p.s.",7.715619569999999
Obecně prospěšná společnost,Computer Agency o.p.s.,7.71228717
Obecně prospěšná společnost,"TyfloCentrum Pardubice, o.p.s.",7.668168860000001
Obecně prospěšná společnost,"KONÍČEK, občanské sdružení",7.662396370000001
Obecně prospěšná společnost,Venkovský prostor o.p.s.,7.6167045600000005
Obecně prospěšná společnost,Jako doma - Homelike,7.60070929
Obecně prospěšná společnost,"SPC Pramínek,  o.p.s.",7.59148008
Obecně prospěšná společnost,Asociace TRIGON,7.46669999
Obecně prospěšná společnost,Vysoká škola logistiky o.p.s.,7.44986204
Nadace,Nadace pro rozvoj architektury a stavitelství,7.44831294
Obecně prospěšná společnost,"Metodické a evaluační centrum, o.p.s.",7.4406034199999995
Obecně prospěšná společnost,LEADER ACADEMY o.p.s.,7.35547515
Obecně prospěšná společnost,Občanské sdružení Borůvka,7.30547869
Obecně prospěšná společnost,Občanské sdružení Vzájemné soužití,7.29609979
Obecně prospěšná společnost,"Rytmus-Chrudim, o.p.s.",7.2653881600000005
Obecně prospěšná společnost,"Cukrárna Vesmírna, o.p.s.",7.237449300000001
Obecně prospěšná společnost,"Centrum mentoringu, o.p.s.",7.23013432
Obecně prospěšná společnost,"Informační centrum Praha 5, o.p.s.",7.181546030000001
Obecně prospěšná společnost,"Informační středisko Mikuláš, o.p.s.",7.15772564
Obecně prospěšná společnost,"""Pastorační středisko o.p.s.""",7.05980513
Obecně prospěšná společnost,"Liberix, o.p.s.",6.96355704
Obecně prospěšná společnost,"Smetanova Litomyšl, o.p.s.",6.94454
Obecně prospěšná společnost,"Prosperita, o.p.s.",6.93848982
Obecně prospěšná společnost,TyfloCentrum Hradec Králové o.p.s.,6.75771295
Obecně prospěšná společnost,"Základní škola Pastelka, o.p.s.",6.733548
Obecně prospěšná společnost,"Centrum pro integraci cizinců, o.p.s.",6.56647125
Obecně prospěšná společnost,"Domov Sue Ryder, o.p.s.",6.4955189
Obecně prospěšná společnost,KRUŠNOHORSKÁ ŘEMESLA o.p.s.,6.44702274
Obecně prospěšná společnost,"Filmová akademie Miroslava Ondříčka v Písku, o.p.s.",6.34161256
