Žadatel,IČ žadatele,Rozhodnutí/Smlouva o poskytnutí dotace (EU zdroje)
Město Hranice,00301311,0.23959477151
Město Vsetín,00304450,0.23917654651000003
GENERÁLNÍ ŘEDITELSTVÍ CEL,71214011,0.23896116876999998
ROKOSPOL a.s.,25521446,0.23815717568
"SNĚŽNÍK , a.s.",26979136,0.23750044218000002
Město Beroun,00233129,0.23623845114999997
TAMEH Czech s.r.o.,28615425,0.23609242519999998
"Vodovody a kanalizace Kroměříž, a.s.",49451871,0.23602640414999998
Město Uničov,00299634,0.235982435
ČOV a kanalizace Hradec nad Moravicí - Branka u Opavy,75114194,0.23597392775999998
Město Rožmitál pod Třemšínem,00243221,0.23525213549
"Nemocnice Pardubického kraje, a.s.",27520536,0.23361437701
EAST BOHEMIAN AIRPORT a.s.,48154938,0.23333513850999998
Město Nový Jičín,00298212,0.23325489177000003
Všeobecná fakultní nemocnice v Praze,00064165,0.23233079809999999
UVR Mníšek pod Brdy a.s.,45147477,0.23178191169
Město Šenov,00297291,0.23158188160999996
Biology Park Brno a.s.,41602706,0.231383549
Ligary,72022418,0.23105781522
Město Třeboň,00247618,0.23098327213000003
STROJÍRENSKÝ VĚDECKOTECHNICKÝ PARK s.r.o.,24126381,0.22969605
Město Krnov,00296139,0.22937924237000004
ELMO-PLAST a.s.,28126548,0.229370819
Městys Cerhenice,00235300,0.22925283257
Městská část Praha 10,00063941,0.22924601181999998
"Povodí Vltavy, státní podnik",70889953,0.22905088720000003
MĚSTO BOSKOVICE,00279978,0.22857964916999998
"VARIEL, a. s.",45148287,0.228452569
Město Šternberk,00299529,0.2283545494
Krajské ředitelství policie Plzeňského kraje,75151529,0.22828840581
Vysoká škola ekonomická v Praze,61384399,0.22642474664
"Povodí Ohře, státní podnik",70889988,0.22606516905999996
Svazek obcí regionu Novojičínska,71240357,0.22581013986
"Ústav makromolekulární chemie AV ČR, v. v. i.",61389013,0.22570670668
TAMERO INVEST s.r.o.,24781452,0.224847
Krajské ředitelství policie Jihomoravského kraje,75151499,0.22347861028
"RG Group, a.s.",28224485,0.223250785
Správa Národního parku České Švýcarsko,70565759,0.22319298562
Město Vysoké Mýto,00279773,0.22191024066
Město Třinec,00297313,0.22169196516000003
"Vodárenská společnost Česká Třebová, s.r.o.",60108118,0.2213258906
"Slévárny Třinec, a.s.",25830716,0.22119330459
"ČD Cargo, a.s.",28196678,0.22107126163
Město Žďár nad Sázavou,00295841,0.22061198940999996
HR Agency s.r.o.,26374196,0.21813027485
Město Kuřim,00281964,0.21798489144
Město VESELÍ NAD MORAVOU,00285455,0.21752797961
Svazek kanalizace Třebařov,72564245,0.21691815523
Nemocnice Nový Jičín a.s.,25886207,0.215475585
Obec Týnec nad Labem,00235831,0.21534481154
Czech Hydro s.r.o.,26445085,0.214674
SVAZ PRŮMYSLU A DOPRAVY ČR,00536211,0.2139256365
MĚSTO BRANDÝS N.L.-ST.BOLESLAV,00240079,0.21372075738
Město Říčany,00240702,0.21324425346
Thermal Pasohlávky a.s.,27714608,0.21216190872
Jihočeský vodárenský svaz,49021117,0.21025439849000002
Město Starý Plzenec,00257257,0.20994827602999996
"Elektrárna Počerady, a.s.",24288110,0.2092
Město Havlíčkův Brod,00267449,0.20911424733
Lučební závody Draslovka a.s. Kolín,46357351,0.20882526406000002
Město Kunovice,00567892,0.20860056857999998
"Teplárna České Budějovice, a.s.",60826835,0.20715110093
Město Rychnov nad Kněžnou,00275336,0.20692040257
Město Domažlice,00253316,0.20678126356
"CARMAN, a.s.",26138891,0.206463879
"Energotrans, a.s.",47115726,0.20629762
SPUR a.s.,46900098,0.20612030161999997
Město Slaný,00234877,0.20532731634
"Povodí Odry, státní podnik",70890021,0.20499954571
Město Rýmařov,00296317,0.20452366880000003
Svazek obcí Čistá Odra,75063310,0.20429636923999997
"Vodovody a kanalizace Náchod, a.s.",48172928,0.20295538994000004
Obec Baška,00296511,0.20105706972
Obec Petrovice u Karviné,00297585,0.20040675722
AT & T Global Network Services Czech Republic s.r.o.,25785435,0.199999603
Národní Centrum Tkání a Buněk a.s.,28338766,0.199985739
Město Benátky nad Jizerou,00237442,0.19893066577
Obec Dolní Újezd,00276596,0.19882619597999995
Město Kralupy nad Vltavou,00236977,0.19824051452
"VTP Brno, a.s.",63483122,0.197228603
"Výzkumný Ústav Železniční, a.s.",27257258,0.196709786
Fakultní nemocnice Královské Vinohrady,00064173,0.19664011619000002
Benediktinské opatství sv. Václava v Broumově,48648884,0.195607654
Svazek obcí aglomerace Dolní Lhota,75104181,0.19557660016999998
Město Břeclav,00283061,0.19358136164999998
SPOLCHEMIE Electrolysis a.s.,29200181,0.19324067588
Město Sušice,00256129,0.19320768473999997
Městská část Praha 11,00231126,0.19154715152
"CZECH IT CLUSTER, družstvo",29218233,0.190614867
Národní institut pro další vzdělávání (zařízení pro další vzdělávání pedagogických pracovníků),45768455,0.19012997127999998
Město Roudnice nad Labem,00264334,0.19010982304
"Meopta - optika, s.r.o.",47677023,0.189516129
"Domov ,,Na Terasách"" Rataje, poskytovatel sociálních služeb",48677744,0.1885675276
"Strojmetal Aluminium Forging, s.r.o.",25037684,0.188017413
Hasičský záchranný sbor Středočeského kraje,70885371,0.18760592496999998
MĚSTO NÁCHOD,00272868,0.18660389462999996
"Povodí Labe, státní podnik",70890005,0.18623595366
MĚSTO TÝN NAD VLTAVOU,00245585,0.18437349904
"WITTE Nejdek, spol. s r.o.",40525881,0.184105454
"ŠKODA AUTO a.s., Střední odborné učiliště strojírenské, odštěpný závod",00177041,0.183494949
"UNIS, a.s.",00532304,0.183001229
MĚSTO HRÁDEK NAD NISOU,00262854,0.18275634865
Střední průmyslová škola Uherský Brod,14450437,0.18264474613
Úřad pro ochranu osobních údajů,70837627,0.18252598444999998
Výzkumný ústav vodohospodářský T. G. Masaryka veřejná výzkumná instituce,00020711,0.18197800686
Město Lysá nad Labem,00239402,0.18156074501000002
Město Pacov,00248789,0.18141133451000002
"Vodovodní přivaděč Javorník - Benešov, dobrovolný svazek obcí",02468085,0.18124854665
"Ústav živočišné fyziologie a genetiky AV ČR, v.v.i.",67985904,0.18115852567000001
Město Tachov,00260231,0.18089636145000001
"Teplárna Strakonice, a.s.",60826843,0.18085867609
"Slovácké strojírny, akciová společnost",00008702,0.180277714
Město Horní Jiřetín,00265942,0.17913126278
MORAVIA CANS a.s.,46900616,0.17909487709
Krajské ředitelství policie Moravskoslezského kraje,75151502,0.17848530047
"První železářská společnost Kladno, s.r.o.",49550942,0.178340535
Město Český Brod,00235334,0.17785324716000003
Město Nové Město nad Metují,00272876,0.17772892604
AERO Vodochody AEROSPACE a.s.,24194204,0.17767373798000002
Multiscan s.r.o.,26476444,0.17750645265
"Oblastní nemocnice Mladá Boleslav, a.s., nemocnice Středočeského kraje",27256456,0.17682788270999997
LITAVA,75103061,0.1765522558
"Národní hřebčín Kladruby nad Labem, státní příspěvková organizace",72048972,0.176451187
Město Kostelec nad Labem,00236951,0.17603228323000003
"Ústav fyziky plazmatu AV ČR, v. v. i.",61389021,0.17561590709
Město Polička,00277177,0.17512731876999998
Dobrovolný svazek obcí Vidče a Střítež nad Bečvou,75086239,0.17438664419
"Městská nemocnice Ostrava, příspěvková organizace",00635162,0.17322071856000001
Město Skalná,00254231,0.17311505539999997
Krajské ředitelství policie Středočeského kraje,75151481,0.17295411148999998
Město Králův Dvůr,00509701,0.1727277856
"KASI, spol. s r. o.",47470011,0.172445558
"www.scio.cz, s.r.o.",27156125,0.17213890997
Stora Enso Wood Products Ždírec s.r.o.,25264605,0.171777076
Město Chodov,00259349,0.17163544130999997
ZO ČSOP Vlašim,18595677,0.17106257375000003
"Klastr výrobců obalů, družstvo",27483274,0.17099564774
MĚSTO KONICE,00288365,0.17035254686999998
Sdružení měst a obcí povodí Ondřejnice,60045701,0.16897454603
MĚSTO PRACHATICE,00250627,0.16848934301
Zdravotní ústav se sídlem v Ostravě,71009396,0.16808887103
Město Šlapanice,00282651,0.16746799081999997
"DEZA, a.s.",00011835,0.16705290938999998
Město Odry,00298221,0.16678425469000002
"Vodovody a kanalizace Jablonné nad Orlicí, a.s.",48173398,0.16626136666
TROJHALÍ KAROLINA,72089237,0.16621644032
CAVD s.r.o.,27187446,0.166206819
MĚSTO ČESKÁ SKALICE,00272591,0.16601429058
Kovárna VIVA  a.s.,46978496,0.16585772031
Město Jaroměř,00272728,0.16467024196
Obec Loučná nad Desnou,00302953,0.16444905654000003
FERMAT CZ s.r.o.,26180367,0.163516153
Město Pečky,00239607,0.16327637103999998
Město Studénka,00298441,0.16295610630000001
"Muzeum a společenské centrum Dobrovice, o.p.s.",28222296,0.16295215238
Město Blansko,00279943,0.16270022206000004
Město Kdyně,00253464,0.16258353303
"Obaly Morava, a.s.",25252968,0.162362179
Farmet a.s.,46504931,0.16197155831
Contipro Biotech s.r.o.,25281844,0.161909234
Obec Bartošovice,00297721,0.16182841724000002
Obec Byšice,00236756,0.1617704455
"ON SEMICONDUCTOR CZECH REPUBLIC, s.r.o.",26821532,0.16138315014
ARMATURY Group a.s.,25572881,0.16099575462000001
Město Rožnov pod Radhoštěm,00304271,0.16075076412
"První brněnská strojírna Velká Bíteš, a. s.",00176109,0.16002838899000002
Lázně Bělohrad a.s.,46504834,0.1593785102
Město Nový Bydžov,00269247,0.15925105585
Hasičský záchranný sbor Moravskoslezského kraje,70884561,0.15902504658999997
"Dalkia Industry CZ, a.s.",27826554,0.15869207765
Obec Starý Kolín,00235741,0.15860542213
Město Semily,00276111,0.15842082914000002
OBEC OSÍK,00277100,0.15818273392999999
"Nemocnice Tábor, a.s.",26095203,0.15808929232
"Sdružení obcí mikroregionu Balkán se sídlem ve Slabcích, o. Rakovník",70129959,0.15787433580000002
Město Bučovice,00291676,0.15673089278
Město Zlaté Hory,00296481,0.15670310103
BIOMASS ENERGY k. s.,25567489,0.15646287205
"Alca plast, s.r.o.",25655809,0.15629422286000003
ČSAD Havířov a.s.,45192081,0.1554471015
"Elektrárna Dětmarovice, a.s.",29452279,0.1554
Město Kostelec na Hané,00288373,0.15528739648999998
PV Roztoky s.r.o.,24145505,0.155026077
NANOTEX GROUP s.r.o.,25662660,0.154966764
Město Kraslice,00259438,0.15408870704000002
Red Hat Czech s.r.o.,27690016,0.153599991
MĚSTO TURNOV,00276227,0.15208435859
Město Ústí nad Orlicí,00279676,0.15195285421
"Městská společnost sportovní a rekreační areály, s.r.o.",28168151,0.15159474744
Město Neratovice,00237108,0.15158650099999996
Českomoravská konfederace odborových svazů,00675458,0.15123171529
Město Votice,00232963,0.15088912821
Město Slavkov u Brna,00292311,0.15079784651999997
Sdružení Valašsko-Horní Vsacko,67728189,0.15041661885
Kongresové centrum ILF a.s.,63999871,0.150319397
WASTECH a.s.,60733276,0.15025785157
Solar Turbines EAME s.r.o.,24671576,0.149999
